Date,USD/DXY_Open,USD/DXY_High,USD/DXY_Low,USD/DXY_Close,USD/DXY_Volume,US500_Open,US500_High,US500_Low,US500_Close,US500_Volume,US30_Open,US30_High,US30_Low,US30_Close,US30_Volume,XCU/USD_Close,XCU/USD_High,XCU/USD_Low,XCU/USD_Open,XCU/USD_Volume,XPB/USD_Open,XPB/USD_High,XPB/USD_Low,XPB/USD_Close,XPB/USD_Volume,EUR/USD_Open,EUR/USD_High,EUR/USD_Low,EUR/USD_Close,EUR/USD_Volume,XAU/USD_Open,XAU/USD_High,XAU/USD_Low,XAU/USD_Close,XAU/USD_Volume,XAG/USD_Open,XAG/USD_High,XAG/USD_Low,XAG/USD_Close,XAG/USD_Volume,USD/CAD_Open,USD/CAD_High,USD/CAD_Low,USD/CAD_Close,USD/CAD_Volume,USD/JPY_Open,USD/JPY_High,USD/JPY_Low,USD/JPY_Close,USD/JPY_Volume,XAU/GBP_Open,XAU/GBP_High,XAU/GBP_Low,XAU/GBP_Close,XAU/GBP_Volume,XAU/AUD_Open,XAU/AUD_High,XAU/AUD_Low,XAU/AUD_Close,XAU/AUD_Volume,GBP/USD_Open,GBP/USD_High,GBP/USD_Low,GBP/USD_Close,GBP/USD_Volume,XNI/USD_Open,XNI/USD_High,XNI/USD_Low,XNI/USD_Close,XNI/USD_Volume,XAG/AUD_Open,XAG/AUD_High,XAG/AUD_Low,XAG/AUD_Close,XAG/AUD_Volume,XAU/EUR_Open,XAU/EUR_High,XAU/EUR_Low,XAU/EUR_Close,XAU/EUR_Volume,XAG/EUR_Open,XAG/EUR_High,XAG/EUR_Low,XAG/EUR_Close,XAG/EUR_Volume,BTC/USD_Open,BTC/USD_High,BTC/USD_Low,BTC/USD_Close,BTC/USD_Volume,BTC/XAU_Open,BTC/XAU_High,BTC/XAU_Low,BTC/XAU_Close,BTC/XAU_Volume,BTC/XAG_Open,BTC/XAG_High,BTC/XAG_Low,BTC/XAG_Close,BTC/XAG_Volume,EUR/AUD_Open,EUR/AUD_High,EUR/AUD_Low,EUR/AUD_Close,EUR/AUD_Volume
2017-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-03,103.14149581179208,103.14149581179208,103.14149581179208,103.14149581179208,,,,,,,,,,,,5469.66210226059,5572.176860775948,5467.457642049789,5571.074630670547,590.0,,,,,,,,,,,,,,,,,,,,,,,,,,117.152,118.603,117.152,117.63,0.0,931.29,948.365,930.428,944.058,0.0,1594.597,1607.262,1589.847,1599.455,0.0,1.23112,1.23112,1.21991,1.22434,0.0,,,,,,22.029,22.732,22.021,22.471,0.0,1092.616,1115.225,1091.579,1109.743,0.0,15.082,15.766,15.082,15.579,0.0,,,,,,,,,,,,,,,,1.45671,1.45671,1.43562,1.44087,0.0
2017-01-04,102.41474904346302,102.41474904346302,102.41474904346302,102.41474904346302,,,,,,,,,,,,5617.371974453926,5620.678664770127,5504.936093745231,5504.936093745231,742.0,,,,,,,,,,,,,,,,,,,,,,,,,,117.631,118.179,117.047,117.131,0.0,944.078,950.725,942.326,944.884,0.0,1599.5,1606.534,1594.54,1598.592,0.0,1.22417,1.23523,1.2221,1.23243,0.0,,,,,,22.472,22.654,22.432,22.552,0.0,1109.735,1117.757,1107.276,1109.561,0.0,15.578,15.735,15.56,15.641,0.0,,,,,,,,,,,,,,,,1.44088,1.44165,1.43238,1.44016,0.0
2017-01-05,101.386203089742,101.386203089742,101.386203089742,101.386203089742,,,,,,,,,,,,5576.586306819915,5671.384928975105,5571.074630670547,5630.599261341095,306.0,,,,,,,,,,,,,,,,,,,,,,,,,,117.126,117.126,115.065,115.334,0.0,944.917,956.245,944.917,949.679,0.0,1598.593,1612.621,1598.593,1608.262,0.0,1.23252,1.24318,1.22698,1.2421,0.0,,,,,,22.551,22.768,22.455,22.576,0.0,1109.6,1116.876,1107.996,1112.591,0.0,15.642,15.759,15.536,15.607,0.0,,,,,,,,,,,,,,,,1.44015,1.44619,1.43825,1.44504,0.0
2017-01-06,102.18942028440355,102.18942028440355,102.18942028440355,102.18942028440355,,,,,,,,,,,,5595.3257954788205,5595.3257954788205,5522.573352298737,5550.130681800842,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,115.338,117.172,115.237,116.957,0.0,949.663,955.472,947.324,953.514,0.0,1608.24,1612.357,1601.488,1605.457,0.0,1.24212,1.24234,1.22609,1.22823,0.0,,,,,,22.577,22.657,22.23,22.518,0.0,1112.567,1115.053,1108.096,1112.345,0.0,15.606,15.68,15.362,15.59,0.0,,,,,,,,,,,,,,,,1.44503,1.4468,1.43998,1.44255,0.0
2017-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.012,117.229,116.999,117.147,0.0,956.328,956.809,954.976,956.604,0.0,1607.801,1608.768,1603.905,1604.227,0.0,1.22506,1.227,1.22471,1.22569,0.0,,,,,,22.549,22.566,22.491,22.528,0.0,1112.856,1113.804,1111.873,1113.676,0.0,15.6,15.631,15.574,15.627,0.0,,,,,,,,,,,,,,,,1.44258,1.4447,1.43993,1.43993,0.0
2017-01-09,101.8348093896592,101.8348093896592,101.8348093896592,101.8348093896592,,,,,,,,,,,,5577.688536925316,5604.144161944389,5544.619531273842,5586.506903390884,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,117.148,117.527,115.648,115.983,0.0,956.638,973.645,955.953,970.694,0.0,1604.294,1610.634,1602.322,1606.495,0.0,1.22573,1.22705,1.21234,1.21699,0.0,,,,,,22.529,22.591,22.393,22.487,0.0,1113.711,1121.773,1112.533,1116.083,0.0,15.629,15.725,15.53,15.611,0.0,,,,,,,,,,,,,,,,1.43993,1.44156,1.43361,1.43889,0.0
2017-01-10,102.03946472554208,102.03946472554208,102.03946472554208,102.03946472554208,,,,,,,,,,,,5739.727926111221,5761.774630708695,5648.2365198946,5648.2365198946,607.0,,,,,,,,,,,,,,,,,,,,,,,,,,115.984,116.339,115.194,115.868,0.0,970.659,977.691,970.298,973.329,0.0,1606.437,1613.552,1603.395,1610.49,0.0,1.21713,1.21893,1.21069,1.21736,0.0,,,,,,22.486,22.866,22.443,22.725,0.0,1116.069,1124.465,1114.16,1122.969,0.0,15.61,15.931,15.557,15.834,0.0,,,,,,,,,,,,,,,,1.43889,1.44274,1.43164,1.43373,0.0
2017-01-11,101.58655100271606,101.58655100271606,101.58655100271606,101.58655100271606,,,,,,,,,,,,5734.21677558422,5741.932911944389,5711.068366503715,5741.932911944389,417.0,,,,,,,,,,,,,,,,,,,,,,,,,,115.869,116.862,114.243,115.093,0.0,973.311,981.027,971.944,976.424,0.0,1610.514,1612.648,1596.638,1601.689,0.0,1.2176,1.22707,1.20377,1.22088,0.0,,,,,,22.727,22.781,22.38,22.451,0.0,1122.976,1130.944,1122.726,1125.436,0.0,15.835,15.912,15.727,15.763,0.0,,,,,,,,,,,,,,,,1.43373,1.43477,1.41801,1.42268,0.0
2017-01-12,101.43888735731264,101.43888735731264,101.43888735731264,101.43888735731264,,,,,,,,,,,,5865.391619329453,5865.391619329453,5725.3978834962845,5725.3978834962845,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,115.094,115.232,113.755,114.665,0.0,976.471,985.37,976.388,982.359,0.0,1601.706,1606.568,1593.95,1596.252,0.0,1.22094,1.23163,1.21522,1.21643,0.0,,,,,,22.449,22.564,22.246,22.366,0.0,1125.43,1134.03,1123.597,1125.776,0.0,15.762,15.884,15.671,15.763,0.0,,,,,,,,,,,,,,,,1.42268,1.4237,1.41557,1.41745,0.0
